iter	Passed	Remaining
245	99223	304124
246	99520	303396
247	99853	302781
248	100215	302256
249	100566	301698
250	100922	301157
251	101278	300620
252	101615	300027
253	101945	299416
254	102280	298818
255	102618	298236
256	102936	297595
257	103317	297138
258	103653	296552
259	104030	296088
260	104410	295628
261	104754	295071
262	105100	294522
263	105442	293961
264	105742	293285
265	106081	292722
266	106411	292134
267	106765	291614
268	107111	291073
269	107446	290503
270	107800	289986
271	108099	289325
272	108489	288907
273	108876	288483
274	109238	287991
275	109546	287361
276	109872	286778
277	110228	286276
278	110639	285918
279	111000	285430
280	111408	285063
281	111823	284713
282	112179	284214
283	112530	283703
284	112851	283119
285	113201	282608
286	113509	281993
287	113880	281537
288	114240	281056
289	114594	280559
290	114961	280095
291	115283	279523
292	115641	279039
293	115987	278527
294	116310	277963
295	116685	277521
296	117015	276975
297	117384	276524
298	117714	275979
299	118040	275428
300	118387	274925
301	118734	274426
302	119110	273992
303	119492	273574
304	119826	273046
305	120207	272627
306	120555	272132
307	120918	271673
308	121248	271141
309	121587	270629
310	121897	270056
311	122270	269621
312	122605	269105
313	122931	268569
314	123226	267969
315	123548	267427
316	123911	266977
317	124282	266543
318	124625	266049
319	124962	265546
320	125455	265370
321	125844	264977
322	126146	264399
323	126442	263812
324	126804	263362
325	127155	262891
326	127469	262345
327	127834	261904
328	128164	261393
329	128492	260878
330	128807	260340
331	129152	259861
332	129504	259398
333	129838	258900
334	130214	258484
335	130534	257961
336	130920	257567
337	131297	257155
338	131638	256675
339	131919	256079
340	132245	255571
341	132617	255152
342	132961	254681
343	133310	254220
344	133675	253788
345	134036	253353
346	134443	253000
347	134855	252659
348	135275	252334
349	135622	251871
350	136024	251509
351	136392	251086
352	136725	250599
353	137029	250060
354	137357	249564
355	137676	249054
356	138017	248585
357	138393	248180
358	138750	247740
359	139055	247209
360	139386	246725
361	139725	246256
362	140049	245762
363	140401	245316
364	140765	244892
365	141123	244460
366	141576	244189
367	141955	243793
368	142274	243293
369	142593	242794
370	142931	242329
371	143282	241885
372	143601	241389
373	143949	240942
374	144298	240498
375	144645	240049
376	145005	239624
377	145369	239206
378	145717	238761
379	146085	238350
380	146456	237944
381	146791	237480
382	147091	236959
383	147420	236486
384	147759	236031
385	148084	235554
386	148446	235136
387	148789	234687
388	149107	234202
389	149430	233725
390	149793	233310
391	150117	232834
392	150428	232341
393	150780	231911
394	151142	231496
395	151540	231137
396	151945	230789
397	152306	230373
